date,ail,gas_price,price,peak_or_not,season
2021-01-01 00:00:00,9655,2.4633,29.92,OFF PEAK,WINTER
2021-01-01 01:00:00,9513,2.4633,27.48,OFF PEAK,WINTER
2021-01-01 02:00:00,9437,2.4633,28.62,OFF PEAK,WINTER
2021-01-01 03:00:00,9376,2.4633,33.55,OFF PEAK,WINTER
2021-01-01 04:00:00,9356,2.4633,35.36,OFF PEAK,WINTER
2021-01-01 05:00:00,9403,2.4633,38.18,OFF PEAK,WINTER
2021-01-01 06:00:00,9503,2.4633,46.5,OFF PEAK,WINTER
2021-01-01 07:00:00,9627,2.4633,33.79,ON PEAK,WINTER
2021-01-01 08:00:00,9775,2.4633,33.01,ON PEAK,WINTER
2021-01-01 09:00:00,9867,2.4633,33.56,ON PEAK,WINTER
2021-01-01 10:00:00,9992,2.4633,42.19,ON PEAK,WINTER
2021-01-01 11:00:00,10127,2.4633,40.18,ON PEAK,WINTER
2021-01-01 12:00:00,10167,2.4633,40.43,ON PEAK,WINTER
2021-01-01 13:00:00,10147,2.4633,40.18,ON PEAK,WINTER
2021-01-01 14:00:00,10132,2.4633,40.44,ON PEAK,WINTER
2021-01-01 15:00:00,10219,2.4633,40.18,ON PEAK,WINTER
2021-01-01 16:00:00,10512,2.4633,55.61,ON PEAK,WINTER
2021-01-01 17:00:00,10787,2.4633,96.09,ON PEAK,WINTER
2021-01-01 18:00:00,10679,2.4633,48.91,ON PEAK,WINTER
2021-01-01 19:00:00,10428,2.4633,34.16,ON PEAK,WINTER
2021-01-01 20:00:00,10295,2.4633,32.56,ON PEAK,WINTER
2021-01-01 21:00:00,10113,2.4633,42.64,ON PEAK,WINTER
2021-01-01 22:00:00,9891,2.4633,41.45,ON PEAK,WINTER
2021-01-01 23:00:00,9646,2.4633,35.36,OFF PEAK,WINTER
2021-01-02 00:00:00,9491,2.49,31.51,OFF PEAK,WINTER
2021-01-02 01:00:00,9378,2.49,27.17,OFF PEAK,WINTER
2021-01-02 02:00:00,9317,2.49,26.1,OFF PEAK,WINTER
2021-01-02 03:00:00,9281,2.49,26.04,OFF PEAK,WINTER
2021-01-02 04:00:00,9328,2.49,25.97,OFF PEAK,WINTER
2021-01-02 05:00:00,9356,2.49,25.6,OFF PEAK,WINTER
2021-01-02 06:00:00,9434,2.49,25.13,OFF PEAK,WINTER
2021-01-02 07:00:00,9629,2.49,25.68,ON PEAK,WINTER
