date,northwest,fossil_fuel_ratio,gas_tng,relative_gas_reserve,gas_supply_mix,system_marginal_price_avg,system_marginal_price_sum,gas_cost,gas_tng_ratio,load_on_gas_reserve,wind_supply_mix,wind_tng,rolling_std,hydro_tng,renewable_energy_ratio,rolling_mean,rolling_min,wind_reserve_margin,gas_reserve_margin,other_reserve_margin,exp_moving_avg,renewable_energy_penetration,rolling_max,rolling_median,hydro_reserve_margin,calgary,demand_supply_ratio,weekly_profile,system_load,total_reserve_margin
2022-01-01 23:00:00,925.8213,0.8079343,6835.729,0.7470918,0.6486915,56.865715,398.06,27112.592,0.6486915,0.15729716,0.1206619,1271.5012,10.351338,119.03398,0.13193126,54.675415,39.58,0.32330963,0.12987159,-0.4850785,55.607372,0.0013193125,83.49,54.14,0.8101531,1111.6693,0.78392786,1,7169.034,0.17383619
2022-01-02 00:00:00,937.4983,0.790075,6509.205,0.91047907,0.6282745,45.74,274.44,25733.72,0.6282745,0.21658532,0.13737082,1423.2233,10.14581,118.75297,0.14880764,53.97125,39.58,0.24457364,0.17069624,-0.48214206,54.979954,0.0014880765,83.49,53.65,0.80999523,1053.6199,0.7721747,1,7011.0137,0.18747959
2022-01-02 01:00:00,938.71027,0.78050953,6125.4756,1.024387,0.612632,32.445,64.89,24894.227,0.612632,0.2968697,0.14466222,1446.423,10.909309,116.05382,0.15624015,52.757084,32.45,0.23469687,0.22481959,-0.47767544,52.944695,0.0015624015,83.49,52.925,0.8143139,1011.4596,0.76252925,1,6973.0723,0.21946743
2022-01-02 02:00:00,939.2406,0.7821357,6132.5337,1.0127684,0.6142259,34.016,170.08,24785.246,0.6142259,0.29464057,0.14250468,1422.7903,11.555512,120.601364,0.15455168,51.790833,32.45,0.24720089,0.22254895,-0.4758251,51.204323,0.0015455169,83.49,51.82,0.80703783,986.1245,0.75804937,1,6873.135,0.21974319
2022-01-02 03:00:00,942.24725,0.7902052,6263.861,0.96030897,0.6232701,38.282,382.82,25100.932,0.6232701,0.27082738,0.13515556,1358.3125,11.81578,117.81563,0.14684609,51.489582,32.45,0.28131616,0.20690547,-0.47872,50.065712,0.0014684608,83.49,51.82,0.8126938,971.8834,0.7557377,1,6819.452,0.21545717
2022-01-02 04:00:00,941.831,0.78320515,6243.9185,0.99417526,0.6172634,35.69,71.38,24894.973,0.6172634,0.27506357,0.14280808,1444.573,12.147015,117.330574,0.15437783,50.603333,32.45,0.23567568,0.20862886,-0.4706992,48.840935,0.0015437782,83.49,51.02,0.8134649,975.37274,0.75730354,1,6829.649,0.20985119
2022-01-02 05:00:00,956.6475,0.78158903,6270.2188,0.996778,0.6167148,38.655,154.62,25119.137,0.6167148,0.26212567,0.14452869,1469.4419,12.210968,118.29037,0.15613201,49.862915,32.45,0.21378179,0.20155117,-0.48213303,48.10014,0.0015613202,83.49,49.81,0.811939,998.5077,0.7682831,1,6919.0557,0.20220266
2022-01-02 06:00:00,960.01483,0.79316616,6445.427,0.91338146,0.6294039,45.225,180.9,25942.316,0.6294039,0.22635391,0.13211717,1352.9491,12.206255,135.71826,0.1453389,49.574585,32.45,0.27611068,0.17965806,-0.46162227,47.957363,0.0014533888,83.49,48.195,0.7842317,1042.4336,0.77721995,1,7046.0615,0.19669552
2022-01-02 07:00:00,977.6235,0.8007259,6628.8203,0.8338481,0.63892823,46.76,187.04,26839.893,0.63892823,0.1864846,0.12620702,1309.3861,12.099085,132.10597,0.13890952,49.785416,32.45,0.29904386,0.15362354,-0.43932477,47.81403,0.0013890952,83.49,48.195,0.7886304,1093.3939,0.79399276,4,7251.996,0.18423444
2022-01-02 08:00:00,988.0067,0.7974597,6768.608,0.84136236,0.63909966,48.44,48.44,27328.31,0.63909966,0.1760296,0.13205491,1398.5736,11.956041,119.07177,0.1433573,50.09875,32.45,0.2520997,0.14591698,-0.44721043,47.867523,0.0014335731,83.49,48.59,0.80948514,1137.6309,0.8022321,4,7379.7173,0.17342943
2022-01-02 09:00:00,979.4436,0.77923274,6659.4585,0.9538541,0.6223898,42.79,171.16,26867.523,0.6223898,0.18960038,0.15023556,1607.4934,11.85184,124.675575,0.16571294,50.230835,32.45,0.14449526,0.15531982,-0.46357098,47.43258,0.0016571294,83.49,48.59,0.8005191,1166.8643,0.8119083,4,7447.097,0.16283394
2022-01-02 10:00:00,979.9281,0.77045023,6527.2847,1.042458,0.6129256,39.41,236.46,26798.088,0.6129256,0.2169743,0.15623635,1663.822,11.946664,150.49265,0.18080308,50.12583,32.45,0.11451727,0.17636788,-0.46387017,46.687313,0.0018080308,83.49,48.59,0.7576608,1204.7742,0.8199407,4,7563.741,0.16918463
2022-01-02 11:00:00,991.1969,0.7832588,6840.38,0.9093129,0.6290277,48.002,240.01,27829.191,0.6290277,0.16078725,0.14624573,1590.3535,11.954766,138.99594,0.17594233,49.980415,32.45,0.15361708,0.13587923,-0.6881889,46.77004,0.0017594233,83.49,48.055,0.776174,1229.8615,0.8318342,4,7637.712,0.14943068
2022-01-02 12:00:00,969.55817,0.791206,6887.873,0.86293775,0.6361232,47.376667,142.13,28055.781,0.6361232,0.15986037,0.13854279,1500.1263,11.959203,143.13785,0.16680175,49.864166,32.45,0.20163578,0.13534105,-0.54580766,46.880695,0.0016680175,83.49,47.88,0.76950425,1240.2583,0.8255723,4,7599.6504,0.15683757
