date,atc_sk_export,atc_sk_import,atc_wecc_export,atc_wecc_import,bc,mt,sk,ttc_sk_export,ttc_sk_import,ttc_wecc_export,ttc_wecc_import,wecc,imported,exported,total_flow
2020-12-20 00:00:00,-153,153,-935,551,-50,199.552,0,-153,153,-1000,1110,149.552,199.552,-50.0,149.552
2020-12-20 01:00:00,-153,153,-935,551,0,199.616,0,-153,153,-1000,1110,199.616,199.616,0.0,199.616
2020-12-20 02:00:00,-153,153,-935,551,50,199.488,0,-153,153,-1000,1110,249.488,249.488,0.0,249.488
2020-12-20 03:00:00,-153,153,-935,551,50,199.552,0,-153,153,-1000,1110,249.552,249.552,0.0,249.552
2020-12-20 04:00:00,-153,153,-935,551,100,199.552,0,-153,153,-1000,1110,299.552,299.552,0.0,299.552
2020-12-20 05:00:00,-153,153,-935,551,100,199.552,0,-153,153,-1000,1110,299.552,299.552,0.0,299.552
2020-12-20 06:00:00,-153,153,-935,551,50,199.552,0,-153,153,-1000,1110,249.552,249.552,0.0,249.552
2020-12-20 07:00:00,-153,153,-935,914,100,199.488,0,-153,153,-1000,1110,299.488,299.488,0.0,299.488
2020-12-20 08:00:00,-153,153,-935,913,50,199.616,0,-153,153,-1000,1110,249.616,249.616,0.0,249.616
2020-12-20 09:00:00,-153,153,-935,891,150,199.424,0,-153,153,-1000,1110,349.424,349.424,0.0,349.424
2020-12-20 10:00:00,-153,153,-935,897,150,199.552,0,-153,153,-1000,1110,349.552,349.552,0.0,349.552
2020-12-20 11:00:00,-153,153,-935,867,150,224.488,0,-153,153,-1000,1110,374.488,374.488,0.0,374.488
2020-12-20 12:00:00,-153,153,-935,871,150,224.552,0,-153,153,-1000,1110,374.552,374.552,0.0,374.552
2020-12-20 13:00:00,-153,153,-935,895,50,224.424,0,-153,153,-1000,1110,274.424,274.424,0.0,274.424
2020-12-20 14:00:00,-153,153,-935,892,100,224.488,0,-153,153,-1000,1110,324.488,324.488,0.0,324.488
2020-12-20 15:00:00,-153,153,-935,891,100,224.424,0,-153,153,-1000,1110,324.424,324.424,0.0,324.424
2020-12-20 16:00:00,-153,153,-935,800,250,224.616,0,-153,153,-1000,1110,474.616,474.616,0.0,474.616
2020-12-20 17:00:00,-153,153,-935,800,250,224.424,0,-153,153,-1000,1110,474.424,474.424,0.0,474.424
2020-12-20 18:00:00,-153,153,-935,886,250,224.488,0,-153,153,-1000,1110,474.488,474.488,0.0,474.488
2020-12-20 19:00:00,-153,153,-935,885,150,224.488,0,-153,153,-1000,1110,374.488,374.488,0.0,374.488
2020-12-20 20:00:00,-153,153,-935,900,100,224.488,0,-153,153,-1000,1110,324.488,324.488,0.0,324.488
2020-12-20 21:00:00,-153,153,-935,900,50,175.552,0,-153,153,-1000,1110,225.552,225.552,0.0,225.552
2020-12-20 22:00:00,-153,153,-935,901,50,175.616,0,-153,153,-1000,1110,225.616,225.616,0.0,225.616
2020-12-20 23:00:00,-153,153,-935,551,50,175.616,0,-153,153,-1000,1110,225.616,225.616,0.0,225.616
2020-12-21 00:00:00,-153,153,-935,589,50,152.616,0,-153,153,-1000,1110,202.616,202.616,0.0,202.616
2020-12-21 01:00:00,-153,153,-935,589,50,152.68,0,-153,153,-1000,1110,202.68,202.68,0.0,202.68
2020-12-21 02:00:00,-153,153,-935,589,50,152.68,0,-153,153,-1000,1110,202.68,202.68,0.0,202.68
2020-12-21 03:00:00,-153,153,-935,589,50,124.68,0,-153,153,-1000,1110,174.68,174.68,0.0,174.68
2020-12-21 04:00:00,-153,153,-935,589,50,124.744,0,-153,153,-1000,1110,174.744,174.744,0.0,174.744
2020-12-21 05:00:00,-153,153,-935,575,50,99.744,40,-153,153,-1000,1110,149.744,189.744,0.0,189.744
2020-12-21 06:00:00,-153,153,-935,575,100,102.68,40,-153,153,-1000,1110,202.68,242.68,0.0,242.68
2020-12-21 07:00:00,-153,153,-935,905,200,177.68,40,-153,153,-1000,1110,377.68,417.68,0.0,417.68
2020-12-21 08:00:00,-153,153,-935,912,350,177.552,50,-153,153,-1000,1110,527.552,577.552,0.0,577.552
2020-12-21 09:00:00,-153,153,-935,879,500,102.68,50,-153,153,-1000,1110,602.68,652.6800000000001,0.0,652.68
2020-12-21 10:00:00,-153,153,-935,788,250,102.744,50,-153,153,-1000,1110,352.744,402.744,0.0,402.744
2020-12-21 11:00:00,-153,153,-935,794,250,102.808,40,-153,153,-1000,1110,352.808,392.808,0.0,392.808
2020-12-21 12:00:00,-153,153,-935,758,250,102.744,40,-153,153,-1000,1110,352.744,392.744,0.0,392.744
2020-12-21 13:00:00,-153,153,-935,758,250,102.744,40,-153,153,-1000,1110,352.744,392.744,0.0,392.744
2020-12-21 14:00:00,-153,153,-935,780,686,93.68,60,-153,153,-1000,1110,779.68,839.6800000000001,0.0,839.68
2020-12-21 15:00:00,-153,153,-935,722,635,86.744,60,-153,153,-1000,1110,721.744,781.744,0.0,781.744
2020-12-21 16:00:00,-153,153,-935,722,605,116.744,60,-153,153,-1000,1110,721.744,781.744,0.0,781.744
2020-12-21 17:00:00,-153,153,-935,742,622,119.744,60,-153,153,-1000,1110,741.744,801.744,0.0,801.744
2020-12-21 18:00:00,-153,153,-935,722,605,116.744,112,-153,153,-1000,1110,721.744,833.744,0.0,833.744
2020-12-21 19:00:00,-153,153,-935,740,475,144.68,92,-153,153,-1000,1110,619.68,711.6800000000001,0.0,711.68
2020-12-21 20:00:00,-153,153,-935,786,150,144.744,92,-153,153,-1000,1110,294.744,386.744,0.0,386.744
2020-12-21 21:00:00,-153,153,-935,786,100,102.68,40,-153,153,-1000,1110,202.68,242.68,0.0,242.68
2020-12-21 22:00:00,-153,153,-935,870,100,102.744,0,-153,153,-1000,1110,202.744,202.744,0.0,202.744
2020-12-21 23:00:00,-153,153,-935,575,50,102.744,0,-153,153,-1000,1110,152.744,152.744,0.0,152.744
2020-12-22 00:00:00,-153,153,-935,577,50,102.744,0,-153,153,-1000,1110,152.744,152.744,0.0,152.744
2020-12-22 01:00:00,0,0,-935,577,0,109.744,0,0,0,-1000,1110,109.744,109.744,0.0,109.744
2020-12-22 02:00:00,0,0,-935,593,0,109.68,0,0,0,-1000,1110,109.68,109.68,0.0,109.68
2020-12-22 03:00:00,0,0,-935,593,50,109.744,0,0,0,-1000,1110,159.744,159.744,0.0,159.744
2020-12-22 04:00:00,0,0,-935,577,50,109.68,0,0,0,-1000,1110,159.68,159.68,0.0,159.68
2020-12-22 05:00:00,0,0,-935,577,50,109.744,0,0,0,-1000,1110,159.744,159.744,0.0,159.744
2020-12-22 06:00:00,0,0,-935,577,150,109.808,0,0,0,-1000,1110,259.808,259.808,0.0,259.808
2020-12-22 07:00:00,0,0,-935,883,150,109.68,0,0,0,-1000,1110,259.68,259.68,0.0,259.68
2020-12-22 08:00:00,0,0,-935,883,150,109.68,0,0,0,-1000,1110,259.68,259.68,0.0,259.68
2020-12-22 09:00:00,0,0,-935,873,50,109.808,0,0,0,-1000,1110,159.808,159.808,0.0,159.808
2020-12-22 10:00:00,0,0,-935,876,75,109.616,0,0,0,-1000,1110,184.616,184.61599999999999,0.0,184.616
2020-12-22 11:00:00,0,0,-935,856,100,209.616,0,0,0,-1000,1110,309.616,309.616,0.0,309.616
2020-12-22 12:00:00,-153,153,-935,818,150,209.424,0,-153,153,-1000,1110,359.424,359.424,0.0,359.424
2020-12-22 13:00:00,0,0,-935,842,150,209.488,0,0,0,-1000,1110,359.488,359.488,0.0,359.488
2020-12-22 14:00:00,0,0,-935,841,150,209.424,0,0,0,-1000,1110,359.424,359.424,0.0,359.424
2020-12-22 15:00:00,0,0,-935,817,150,209.488,0,0,0,-1000,1110,359.488,359.488,0.0,359.488
2020-12-22 16:00:00,-153,153,-935,858,150,209.616,40,-153,153,-1000,1110,359.616,399.616,0.0,399.616
2020-12-22 17:00:00,-153,153,-935,815,250,209.552,60,-153,153,-1000,1110,459.552,519.552,0.0,519.552
2020-12-22 18:00:00,-153,153,-935,814,200,209.616,60,-153,153,-1000,1110,409.616,469.616,0.0,469.616
2020-12-22 19:00:00,-153,153,-935,747,150,209.488,60,-153,153,-1000,1110,359.488,419.488,0.0,419.488
2020-12-22 20:00:00,-153,153,-935,772,150,209.616,60,-153,153,-1000,1110,359.616,419.616,0.0,419.616
2020-12-22 21:00:00,-153,153,-935,833,50,209.616,60,-153,153,-1000,1110,259.616,319.616,0.0,319.616
2020-12-22 22:00:00,-153,153,-935,875,100,109.68,0,-153,153,-1000,1110,209.68,209.68,0.0,209.68
2020-12-22 23:00:00,-153,153,-935,577,100,109.68,50,-153,153,-1000,1110,209.68,259.68,0.0,259.68
2020-12-23 00:00:00,-153,153,-935,567,100,59.808,50,-153,153,-1000,1110,159.808,209.808,0.0,209.808
2020-12-23 01:00:00,-153,153,-935,567,50,59.808,50,-153,153,-1000,1110,109.808,159.808,0.0,159.808
2020-12-23 02:00:00,-153,153,-935,567,50,59.808,50,-153,153,-1000,1110,109.808,159.808,0.0,159.808
2020-12-23 03:00:00,-153,153,-935,567,50,59.744,50,-153,153,-1000,1110,109.744,159.744,0.0,159.744
2020-12-23 04:00:00,-153,153,-935,567,50,59.744,50,-153,153,-1000,1110,109.744,159.744,0.0,159.744
2020-12-23 05:00:00,-153,153,-935,564,50,59.808,50,-153,153,-1000,1110,109.808,159.808,0.0,159.808
