Date - MST,Date,Hourly Profile,Season,Date (MPT),Date (MST),Calgary,Central,Edmonton,Losses,Northeast,Northwest,South,System Load
7/16/2021 9:00:00 AM,7/16/2021,ON PEAK,SUMMER,7/16/2021 10:00:00 AM,7/16/2021 9:00:00 AM,1441.4247063,1319.743832,1758.2120352,205.6633997,1093.294976,804.2111524,1076.5588126,7699.1089142
7/16/2021 10:00:00 AM,7/16/2021,ON PEAK,SUMMER,7/16/2021 11:00:00 AM,7/16/2021 10:00:00 AM,1478.9942913,1319.1113679,1785.7032582,182.2686173,1087.0944023,820.4167717,1101.0342976,7774.6230063
7/16/2021 11:00:00 AM,7/16/2021,ON PEAK,SUMMER,7/16/2021 12:00:00 PM,7/16/2021 11:00:00 AM,1518.0221693,1323.371305,1808.7484419,197.0319222,1086.358978,820.0338316,1112.6470851,7866.2137331
7/16/2021 12:00:00 PM,7/16/2021,ON PEAK,SUMMER,7/16/2021 1:00:00 PM,7/16/2021 12:00:00 PM,1545.7090721,1335.0407167,1820.552354,207.6821279,1094.7927528,817.0967644,1127.3716018,7948.2453897
7/16/2021 1:00:00 PM,7/16/2021,ON PEAK,SUMMER,7/16/2021 2:00:00 PM,7/16/2021 1:00:00 PM,1554.137465,1337.8667436,1800.898653,201.6904066,1086.4621147,813.3150493,1141.0530507,7935.4234829
7/16/2021 2:00:00 PM,7/16/2021,ON PEAK,SUMMER,7/16/2021 3:00:00 PM,7/16/2021 2:00:00 PM,1558.2180655,1329.6679128,1806.7948298,222.1745254,1074.3138796,817.4965625,1162.0669512,7970.7327268
7/16/2021 3:00:00 PM,7/16/2021,ON PEAK,SUMMER,7/16/2021 4:00:00 PM,7/16/2021 3:00:00 PM,1567.5434968,1305.7938589,1816.9397832,191.503007,1082.2695206,820.3735709,1168.3108512,7952.7340886
7/16/2021 4:00:00 PM,7/16/2021,ON PEAK,SUMMER,7/16/2021 5:00:00 PM,7/16/2021 4:00:00 PM,1571.0502468,1313.3411872,1780.3553516,175.5364286,1092.2148335,810.1580033,1171.2213453,7913.8773963
7/16/2021 5:00:00 PM,7/16/2021,ON PEAK,SUMMER,7/16/2021 6:00:00 PM,7/16/2021 5:00:00 PM,1506.4952133,1314.3482171,1712.1537404,260.2432479,1088.8186935,801.730117,1187.124934,7870.9141632
7/16/2021 6:00:00 PM,7/16/2021,ON PEAK,SUMMER,7/16/2021 7:00:00 PM,7/16/2021 6:00:00 PM,1445.6816609,1307.6797061,1632.6162184,192.4213169,1078.4151159,800.3074028,1191.2416392,7648.3630602
7/16/2021 7:00:00 PM,7/16/2021,ON PEAK,SUMMER,7/16/2021 8:00:00 PM,7/16/2021 7:00:00 PM,1379.913359,1284.6942026,1564.840978,212.6007229,1083.6994277,797.0157747,1189.2251893,7511.9896542
