,Date,Feature,Value,Base
64,2023-01-31 12:00:00,Other,-0.13715489827553734,131.9205334413088
63,2023-01-31 12:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
60,2023-01-31 12:00:00,Price lag1,-0.168525222152477,131.9205334413088
61,2023-01-31 12:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
62,2023-01-31 12:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
66,2023-01-31 13:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
67,2023-01-31 13:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
68,2023-01-31 13:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
69,2023-01-31 13:00:00,Other,-0.13715489827553734,131.9205334413088
65,2023-01-31 13:00:00,Price lag1,-0.168525222152477,131.9205334413088
70,2023-01-31 14:00:00,Price lag1,-0.168525222152477,131.9205334413088
71,2023-01-31 14:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
72,2023-01-31 14:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
73,2023-01-31 14:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
74,2023-01-31 14:00:00,Other,-0.13715489827553734,131.9205334413088
79,2023-01-31 15:00:00,Other,-0.13715489827553734,131.9205334413088
77,2023-01-31 15:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
75,2023-01-31 15:00:00,Price lag1,-0.168525222152477,131.9205334413088
78,2023-01-31 15:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
76,2023-01-31 15:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
80,2023-01-31 16:00:00,Price lag1,-0.168525222152477,131.9205334413088
81,2023-01-31 16:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
82,2023-01-31 16:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
83,2023-01-31 16:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
84,2023-01-31 16:00:00,Other,-0.13715489827553734,131.9205334413088
85,2023-01-31 17:00:00,Price lag1,-0.168525222152477,131.9205334413088
86,2023-01-31 17:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
87,2023-01-31 17:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
88,2023-01-31 17:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
89,2023-01-31 17:00:00,Other,-0.13715489827553734,131.9205334413088
92,2023-01-31 18:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
90,2023-01-31 18:00:00,Price lag1,-0.168525222152477,131.9205334413088
91,2023-01-31 18:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
94,2023-01-31 18:00:00,Other,-0.13715489827553734,131.9205334413088
93,2023-01-31 18:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
95,2023-01-31 19:00:00,Price lag1,-0.168525222152477,131.9205334413088
96,2023-01-31 19:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
97,2023-01-31 19:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
98,2023-01-31 19:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
99,2023-01-31 19:00:00,Other,-0.13715489827553734,131.9205334413088
103,2023-01-31 20:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
104,2023-01-31 20:00:00,Other,-0.13715489827553734,131.9205334413088
101,2023-01-31 20:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
100,2023-01-31 20:00:00,Price lag1,-0.168525222152477,131.9205334413088
102,2023-01-31 20:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
106,2023-01-31 21:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
107,2023-01-31 21:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
108,2023-01-31 21:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
109,2023-01-31 21:00:00,Other,-0.13715489827553734,131.9205334413088
105,2023-01-31 21:00:00,Price lag1,-0.168525222152477,131.9205334413088
110,2023-01-31 22:00:00,Price lag1,-0.168525222152477,131.9205334413088
111,2023-01-31 22:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
112,2023-01-31 22:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
113,2023-01-31 22:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
114,2023-01-31 22:00:00,Other,-0.13715489827553734,131.9205334413088
119,2023-01-31 23:00:00,Other,-0.13715489827553734,131.9205334413088
116,2023-01-31 23:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
117,2023-01-31 23:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
115,2023-01-31 23:00:00,Price lag1,-0.168525222152477,131.9205334413088
118,2023-01-31 23:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
0,2023-02-01 00:00:00,Price lag1,-0.168525222152477,131.9205334413088
4,2023-02-01 00:00:00,Other,-0.13715489827553734,131.9205334413088
1,2023-02-01 00:00:00,Wind reserve margin lag1,-0.03515566825974478,131.9205334413088
2,2023-02-01 00:00:00,Hydro tng lag1,-0.033174074297306545,131.9205334413088
3,2023-02-01 00:00:00,Hydro reserve margin lag1,-0.028402355829381574,131.9205334413088
6,2023-02-01 01:00:00,Wind supply mix lag1,-0.04639761397324241,131.73710107312544
7,2023-02-01 01:00:00,Weekly profile lag22,-0.03745756908767555,131.73710107312544
8,2023-02-01 01:00:00,Hydro tng lag1,-0.03584488785450891,131.73710107312544
9,2023-02-01 01:00:00,Other,-0.23608745195809386,131.73710107312544
5,2023-02-01 01:00:00,Price lag1,-0.07430465366195238,131.73710107312544
10,2023-02-01 02:00:00,Weekly profile lag21,-0.05695367485884883,131.67220865306595
11,2023-02-01 02:00:00,Weekly profile lag20,-0.050875126739158574,131.67220865306595
12,2023-02-01 02:00:00,Price lag22,-0.04089048059587752,131.67220865306595
13,2023-02-01 02:00:00,Wind supply mix lag1,-0.036022356370515665,131.67220865306595
14,2023-02-01 02:00:00,Other,-0.3451368826219872,131.67220865306595
19,2023-02-01 03:00:00,Other,-0.2194820470217353,131.65626392804492
16,2023-02-01 03:00:00,Weekly profile lag19,-0.06720043042435199,131.65626392804492
17,2023-02-01 03:00:00,Price lag21,-0.05159181745970626,131.65626392804492
15,2023-02-01 03:00:00,Weekly profile lag20,-0.09217282268018243,131.65626392804492
18,2023-02-01 03:00:00,Wind supply mix lag1,-0.024790125191255678,131.65626392804492
20,2023-02-01 04:00:00,Weekly profile lag19,-0.09663902369695203,131.59359377464114
21,2023-02-01 04:00:00,Price lag20,-0.08063361546386688,131.59359377464114
22,2023-02-01 04:00:00,Weekly profile lag18,-0.03802817214839718,131.59359377464114
23,2023-02-01 04:00:00,Total reserve margin lag19,0.02876714733346128,131.59359377464114
24,2023-02-01 04:00:00,Other,-0.26278041158506316,131.59359377464114
25,2023-02-01 05:00:00,Weekly profile lag18,-0.103259038847945,131.62494086270647
26,2023-02-01 05:00:00,Price lag19,-0.07313216738042545,131.62494086270647
27,2023-02-01 05:00:00,Total reserve margin lag18,0.03695964655441549,131.62494086270647
