iter	Passed	Remaining
0	4	1110
1	8	1000
2	11	921
3	13	851
4	17	838
5	18	752
6	21	730
7	23	720
8	27	738
9	30	724
10	33	732
11	35	697
12	37	689
13	41	698
14	45	707
15	48	709
16	51	712
17	55	712
18	58	715
19	62	715
20	65	714
21	68	714
22	70	700
23	74	700
24	77	697
25	80	695
26	84	696
27	86	688
28	89	682
29	93	683
30	95	673
31	99	674
32	102	675
33	104	665
34	105	650
35	108	645
36	112	645
37	115	646
38	119	644
39	122	642
40	126	642
41	129	641
42	133	640
43	136	639
44	140	639
45	142	633
46	145	626
47	148	626
48	152	623
49	154	619
50	174	681
51	177	677
52	180	671
53	184	668
54	187	664
55	190	660
56	193	653
57	196	650
58	199	646
59	202	642
60	206	638
61	209	635
62	213	632
63	215	627
64	219	624
65	223	623
66	230	630
67	237	636
68	243	638
69	249	642
70	255	643
71	259	641
72	263	639
73	267	637
74	274	641
75	280	642
76	284	640
77	289	637
78	292	633
79	296	630
80	300	627
81	304	624
82	307	619
83	311	615
84	315	612
85	317	606
86	321	603
87	326	601
88	330	597
89	335	595
90	339	592
91	343	590
92	347	586
93	352	585
94	355	580
95	361	579
96	365	576
97	370	574
98	374	571
99	377	566
100	380	561
101	383	556
102	387	553
103	390	548
104	394	544
105	397	539
106	400	535
107	403	531
108	407	527
109	410	522
110	412	517
111	416	513
112	420	509
113	423	505
114	427	501
115	432	499
116	436	496
117	440	492
118	446	491
119	450	487
120	454	485
121	458	480
122	463	478
123	466	473
124	469	469
125	474	467
126	480	465
127	487	464
128	492	461
129	496	457
130	499	453
131	504	451
132	508	447
133	513	444
134	516	439
135	518	434
136	522	430
137	526	427
138	530	423
139	533	419
140	537	415
141	541	411
142	544	407
143	547	403
144	551	399
145	555	395
146	559	391
147	562	387
148	569	385
149	574	382
150	578	379
151	583	376
152	587	372
153	591	368
154	595	365
155	599	361
156	603	357
157	606	353
158	610	349
159	614	345
160	617	341
161	622	337
162	627	334
163	632	331
164	636	328
165	640	324
166	645	320
167	650	317
168	655	314
169	660	310
170	664	307
171	669	303
172	674	300
173	680	297
174	685	293
175	689	289
176	694	286
177	699	282
178	703	279
179	708	275
180	712	271
181	716	267
182	720	263
183	724	259
184	728	255
185	731	251
186	736	248
187	739	243
188	743	239
189	747	235
190	751	232
191	755	228
192	759	224
193	764	220
194	769	216
195	773	213
196	779	209
197	783	205
198	788	201
199	792	198
200	796	194
201	806	191
202	810	187
203	813	183
204	817	179
205	820	175
206	823	171
207	826	166
208	831	163
209	837	159
210	843	155
211	849	152
212	854	148
213	859	144
214	863	140
215	868	136
216	872	132
217	877	128
218	889	125
219	895	122
220	902	118
221	907	114
222	912	110
223	916	106
224	921	102
225	925	98
226	929	94
227	933	90
228	937	85
229	941	81
230	944	77
231	948	73
232	952	69
233	955	65
234	959	61
235	963	57
236	968	53
237	972	49
238	976	44
239	982	40
240	987	36
241	992	32
242	998	28
243	1002	24
244	1005	20
245	1009	16
246	1013	12
247	1017	8
248	1020	4
249	1024	0
