,Date,Sentence
0,2023-01-31 13:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
1,2023-01-31 14:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
2,2023-01-31 15:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
3,2023-01-31 16:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
4,2023-01-31 17:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
5,2023-01-31 18:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
6,2023-01-31 19:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
7,2023-01-31 20:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
8,2023-01-31 21:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
9,2023-01-31 22:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
10,2023-01-31 23:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
11,2023-02-01 00:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
12,2023-02-01 01:00:00,"The average power price of the past month is $81.3. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 20.186%, Weekly profile lag19 decreases the prediction by 0.740%."
13,2023-02-01 02:00:00,"The average power price of the past month is $80.9. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 10.987%, Weekly profile lag21 decreases the prediction by 2.153%."
14,2023-02-01 03:00:00,"The average power price of the past month is $80.8. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 9.525%, Weekly profile lag20 decreases the prediction by 3.738%."
15,2023-02-01 04:00:00,"The average power price of the past month is $80.7. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 11.599%, Weekly profile lag20 decreases the prediction by 6.057%."
16,2023-02-01 05:00:00,"The average power price of the past month is $80.6. The top two variables that impact the prediction are: Price lag1 decreases the prediction by 8.936%, Weekly profile lag19 decreases the prediction by 7.942%."
17,2023-02-01 06:00:00,"The average power price of the past month is $80.6. The top two variables that impact the prediction are: Price lag19 decreases the prediction by 4.599%, Price lag1 decreases the prediction by 3.847%."
18,2023-02-01 07:00:00,"The average power price of the past month is $80.6. The top two variables that impact the prediction are: Wind reserve margin lag1 decreases the prediction by 4.746%, Price lag18 decreases the prediction by 4.471%."
19,2023-02-01 08:00:00,"The average power price of the past month is $80.6. The top two variables that impact the prediction are: Wind reserve margin lag1 decreases the prediction by 4.753%, Price lag17 decreases the prediction by 4.358%."
20,2023-02-01 09:00:00,"The average power price of the past month is $80.6. The top two variables that impact the prediction are: System marginal price avg lag15 decreases the prediction by 4.346%, Price lag16 decreases the prediction by 4.331%."
21,2023-02-01 10:00:00,"The average power price of the past month is $80.6. The top two variables that impact the prediction are: Price lag15 decreases the prediction by 4.484%, Weekly profile lag14 increases the prediction by 4.255%."
22,2023-02-01 11:00:00,"The average power price of the past month is $80.7. The top two variables that impact the prediction are: Price lag14 decreases the prediction by 6.131%, Weekly profile lag13 increases the prediction by 4.410%."
23,2023-02-01 12:00:00,"The average power price of the past month is $80.7. The top two variables that impact the prediction are: Price lag13 decreases the prediction by 7.363%, Weekly profile lag12 increases the prediction by 4.200%."
